1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,2
44,0
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,1
53,0
54,1
55,1
56,3
57,3
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,3
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,3
95,0
96,0
97,0
98,1
99,0
100,0
101,2
102,2
103,3
104,3
105,2
106,2
107,3
108,3
109,0
110,3
111,3
112,0
113,3
114,3
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,3
123,2
124,2
125,3
126,3
127,2
128,2
129,3
130,2
131,2
132,3
133,0
134,3
135,3
136,2
137,2
138,2
139,2
140,2
141,2
142,0
143,3
144,2
145,2
146,2
147,3
148,3
149,3
150,2
151,2
152,3
153,3
154,3
155,3
156,2
157,3
158,2
159,2
160,3
161,2
162,3
163,3
164,2
165,3
166,2
167,3
168,2
169,2
170,2
171,2
172,3
173,0
174,2
175,2
176,2
177,2
178,2
179,3
180,3
181,3
182,3
183,2
184,2
185,1
186,2
187,3
188,2
189,3
190,3
191,2
192,3
193,2
194,3
195,3
196,3
197,3
198,3
199,3
200,3
